<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01/01/19,000000,1.0169000,1.0191000,0.9419000,1.0166000,477
02/01/19,000000,1.0180000,1.0222000,1.0078000,1.0097000,2980
03/01/19,000000,1.0094000,1.0154000,1.0055000,1.0122000,3269
04/01/19,000000,1.0119000,1.0147000,1.0091000,1.0135000,3178
05/01/19,000000,1.0134000,1.0136000,1.0128000,1.0129000,137
06/01/19,000000,1.0133000,1.0136000,1.0125000,1.0134000,61
07/01/19,000000,1.0134000,1.0214000,1.0115000,1.0205000,2955
08/01/19,000000,1.0204000,1.0213000,1.0165000,1.0187000,3118
09/01/19,000000,1.0185000,1.0272000,1.0176000,1.0271000,3136
10/01/19,000000,1.0269000,1.0290000,1.0150000,1.0152000,3211
11/01/19,000000,1.0150000,1.0187000,1.0142000,1.0163000,3043
12/01/19,000000,1.0161000,1.0165000,1.0154000,1.0157000,135
13/01/19,000000,1.0149000,1.0152000,1.0138000,1.0147000,61
14/01/19,000000,1.0146000,1.0202000,1.0146000,1.0190000,2906
15/01/19,000000,1.0188000,1.0200000,1.0104000,1.0125000,3063
16/01/19,000000,1.0124000,1.0127000,1.0089000,1.0095000,3041
17/01/19,000000,1.0092000,1.0102000,1.0044000,1.0063000,2969
18/01/19,000000,1.0060000,1.0066000,1.0038000,1.0041000,2971
19/01/19,000000,1.0039000,1.0048000,1.0039000,1.0048000,115
20/01/19,000000,1.0042000,1.0074000,1.0041000,1.0043000,61
21/01/19,000000,1.0046000,1.0062000,1.0009000,1.0024000,2733
22/01/19,000000,1.0023000,1.0037000,1.0011000,1.0022000,2984
23/01/19,000000,1.0019000,1.0059000,1.0006000,1.0050000,3040
24/01/19,000000,1.0048000,1.0064000,1.0019000,1.0034000,3062
25/01/19,000000,1.0032000,1.0075000,1.0022000,1.0074000,3152
26/01/19,000000,1.0072000,1.0076000,1.0060000,1.0065000,133
27/01/19,000000,1.0065000,1.0069000,1.0059000,1.0064000,61
28/01/19,000000,1.0060000,1.0094000,1.0060000,1.0081000,2963
29/01/19,000000,1.0078000,1.0091000,1.0039000,1.0051000,3032
30/01/19,000000,1.0048000,1.0066000,1.0002000,1.0056000,3130
31/01/19,000000,1.0053000,1.0090000,1.0044000,1.0053000,3164
01/02/19,000000,1.0050000,1.0077000,1.0033000,1.0045000,3074
02/02/19,000000,1.0042000,1.0048000,1.0033000,1.0041000,139
03/02/19,000000,1.0050000,1.0050000,1.0035000,1.0036000,61
04/02/19,000000,1.0036000,1.0047000,1.0003000,1.0017000,2871
05/02/19,000000,1.0015000,1.0022000,0.9978000,0.9999000,2900
06/02/19,000000,0.9997000,1.0010000,0.9969000,0.9979000,3034
07/02/19,000000,0.9977000,0.9998000,0.9965000,0.9976000,2965
08/02/19,000000,0.9973000,1.0002000,0.9968000,0.9997000,2914
09/02/19,000000,0.9996000,1.0000000,0.9993000,1.0000000,130
10/02/19,000000,0.9994000,0.9996000,0.9994000,0.9994000,61
11/02/19,000000,0.9995000,1.0008000,0.9898000,0.9954000,2858
12/02/19,000000,0.9952000,0.9960000,0.9904000,0.9939000,2908
13/02/19,000000,0.9939000,0.9955000,0.9904000,0.9908000,2954
14/02/19,000000,0.9908000,0.9953000,0.9899000,0.9946000,2908
15/02/19,000000,0.9943000,0.9953000,0.9909000,0.9950000,2850
16/02/19,000000,0.9948000,0.9953000,0.9941000,0.9943000,124
17/02/19,000000,0.9950000,0.9956000,0.9947000,0.9951000,61
18/02/19,000000,0.9953000,0.9974000,0.9939000,0.9956000,2699
19/02/19,000000,0.9955000,0.9996000,0.9936000,0.9989000,2863
20/02/19,000000,0.9986000,1.0016000,0.9976000,0.9990000,2993
21/02/19,000000,0.9988000,1.0003000,0.9974000,0.9987000,2928
22/02/19,000000,0.9985000,1.0010000,0.9972000,0.9994000,2952
23/02/19,000000,0.9991000,0.9997000,0.9990000,0.9997000,110
24/02/19,000000,0.9999000,1.0002000,0.9996000,0.9998000,61
25/02/19,000000,1.0002000,1.0015000,0.9985000,0.9995000,2427
26/02/19,000000,0.9993000,1.0010000,0.9977000,1.0000000,2844
27/02/19,000000,0.9998000,1.0036000,0.9982000,0.9986000,2834
28/02/19,000000,0.9984000,1.0072000,0.9970000,1.0015000,2994
01/03/19,000000,1.0013000,1.0033000,0.9988000,1.0007000,2956
02/03/19,000000,1.0005000,1.0010000,1.0003000,1.0007000,142
03/03/19,000000,1.0013000,1.0021000,1.0005000,1.0020000,61
04/03/19,000000,1.0018000,1.0019000,0.9976000,1.0012000,2823
05/03/19,000000,1.0010000,1.0012000,0.9941000,0.9955000,2885
06/03/19,000000,0.9955000,0.9967000,0.9941000,0.9952000,2893
07/03/19,000000,0.9951000,0.9962000,0.9874000,0.9880000,2563
08/03/19,000000,0.9879000,0.9929000,0.9874000,0.9918000,2955
09/03/19,000000,0.9916000,0.9920000,0.9912000,0.9919000,137
10/03/19,000000,0.9917000,0.9926000,0.9916000,0.9917000,91
11/03/19,000000,0.9919000,0.9928000,0.9879000,0.9892000,2622
12/03/19,000000,0.9891000,0.9935000,0.9885000,0.9921000,2917
13/03/19,000000,0.9919000,0.9972000,0.9913000,0.9962000,2659
14/03/19,000000,0.9957000,0.9969000,0.9946000,0.9960000,2832
15/03/19,000000,0.9958000,0.9987000,0.9944000,0.9975000,2640
16/03/19,000000,0.9975000,0.9990000,0.9975000,0.9985000,31
17/03/19,000000,0.9972000,0.9978000,0.9966000,0.9968000,91
18/03/19,000000,0.9973000,1.0001000,0.9970000,0.9989000,2881
19/03/19,000000,0.9984000,1.0013000,0.9981000,1.0006000,2913
20/03/19,000000,1.0004000,1.0104000,0.9986000,1.0072000,3054
21/03/19,000000,1.0071000,1.0095000,1.0051000,1.0079000,3173
22/03/19,000000,1.0076000,1.0084000,1.0027000,1.0062000,3086
23/03/19,000000,1.0065000,1.0075000,1.0061000,1.0073000,32
24/03/19,000000,1.0044000,1.0063000,1.0019000,1.0048000,91
25/03/19,000000,1.0050000,1.0088000,1.0047000,1.0075000,3026
26/03/19,000000,1.0072000,1.0080000,1.0044000,1.0053000,3075
27/03/19,000000,1.0052000,1.0093000,1.0030000,1.0050000,3148
28/03/19,000000,1.0047000,1.0056000,1.0024000,1.0042000,3118
29/03/19,000000,1.0037000,1.0054000,1.0022000,1.0045000,3154
30/03/19,000000,1.0044000,1.0055000,1.0030000,1.0051000,45
31/03/19,000000,1.0040000,1.0060000,1.0038000,1.0047000,91
01/04/19,000000,1.0045000,1.0063000,1.0002000,1.0008000,2944
02/04/19,000000,1.0007000,1.0026000,0.9992000,1.0017000,3070
03/04/19,000000,1.0016000,1.0045000,1.0009000,1.0017000,2713
04/04/19,000000,1.0014000,1.0026000,0.9993000,0.9997000,2865
05/04/19,000000,0.9995000,1.0005000,0.9982000,0.9995000,2837
06/04/19,000000,0.9993000,1.0001000,0.9992000,0.9998000,24
07/04/19,000000,0.9995000,1.0002000,0.9989000,0.9996000,59
08/04/19,000000,0.9994000,1.0020000,0.9991000,1.0008000,2614
09/04/19,000000,1.0005000,1.0018000,0.9987000,0.9999000,2897
10/04/19,000000,0.9997000,1.0004000,0.9963000,0.9973000,2914
11/04/19,000000,0.9969000,0.9988000,0.9950000,0.9965000,2854
12/04/19,000000,0.9963000,1.0001000,0.9960000,0.9969000,2865
13/04/19,000000,0.9969000,0.9985000,0.9969000,0.9985000,31
14/04/19,000000,0.9973000,0.9977000,0.9970000,0.9977000,64
15/04/19,000000,0.9977000,0.9989000,0.9950000,0.9957000,2546
16/04/19,000000,0.9955000,0.9966000,0.9915000,0.9922000,2976
17/04/19,000000,0.9917000,0.9931000,0.9887000,0.9892000,2999
18/04/19,000000,0.9890000,0.9906000,0.9839000,0.9845000,2893
19/04/19,000000,0.9844000,0.9868000,0.9838000,0.9850000,2761
20/04/19,000000,0.9855000,0.9856000,0.9855000,0.9856000,17
21/04/19,000000,0.9867000,0.9869000,0.9853000,0.9859000,76
22/04/19,000000,0.9858000,0.9859000,0.9838000,0.9843000,2320
23/04/19,000000,0.9843000,0.9847000,0.9771000,0.9803000,2849
24/04/19,000000,0.9799000,0.9832000,0.9781000,0.9797000,2902
25/04/19,000000,0.9794000,0.9808000,0.9773000,0.9799000,2896
26/04/19,000000,0.9796000,0.9817000,0.9769000,0.9806000,2927
27/04/19,000000,0.9806000,0.9806000,0.9796000,0.9806000,27
28/04/19,000000,0.9794000,0.9812000,0.9794000,0.9805000,60
29/04/19,000000,0.9805000,0.9816000,0.9786000,0.9805000,2878
30/04/19,000000,0.9804000,0.9826000,0.9798000,0.9811000,2956
01/05/19,000000,0.9807000,0.9872000,0.9802000,0.9823000,2778
02/05/19,000000,0.9822000,0.9830000,0.9797000,0.9808000,2962
03/05/19,000000,0.9806000,0.9839000,0.9788000,0.9836000,2969
04/05/19,000000,0.9835000,0.9836000,0.9831000,0.9836000,26
05/05/19,000000,0.9804000,0.9841000,0.9801000,0.9840000,59
06/05/19,000000,0.9840000,0.9849000,0.9804000,0.9823000,3085
07/05/19,000000,0.9821000,0.9840000,0.9775000,0.9808000,3012
08/05/19,000000,0.9804000,0.9832000,0.9791000,0.9798000,2929
09/05/19,000000,0.9796000,0.9876000,0.9789000,0.9849000,3037
10/05/19,000000,0.9849000,0.9898000,0.9840000,0.9880000,3066
11/05/19,000000,0.9884000,0.9884000,0.9865000,0.9874000,19
12/05/19,000000,0.9857000,0.9880000,0.9857000,0.9877000,62
13/05/19,000000,0.9877000,0.9948000,0.9874000,0.9937000,2978
14/05/19,000000,0.9932000,0.9948000,0.9901000,0.9912000,2950
15/05/19,000000,0.9911000,0.9942000,0.9900000,0.9917000,2805
16/05/19,000000,0.9908000,0.9925000,0.9891000,0.9899000,2947
17/05/19,000000,0.9897000,0.9913000,0.9878000,0.9889000,3029
18/05/19,000000,0.9888000,0.9899000,0.9888000,0.9899000,20
19/05/19,000000,0.9898000,0.9898000,0.9877000,0.9892000,289
20/05/19,000000,0.9887000,0.9918000,0.9875000,0.9913000,2887
21/05/19,000000,0.9912000,0.9917000,0.9879000,0.9889000,2962
22/05/19,000000,0.9886000,0.9932000,0.9878000,0.9908000,2964
23/05/19,000000,0.9900000,0.9974000,0.9899000,0.9964000,3020
24/05/19,000000,0.9962000,0.9989000,0.9954000,0.9980000,2919
25/05/19,000000,0.9976000,0.9977000,0.9975000,0.9975000,34
26/05/19,000000,0.9979000,0.9986000,0.9967000,0.9979000,274
27/05/19,000000,0.9984000,0.9985000,0.9937000,0.9959000,2629
28/05/19,000000,0.9958000,0.9964000,0.9899000,0.9922000,2974
29/05/19,000000,0.9919000,0.9949000,0.9909000,0.9917000,3013
30/05/19,000000,0.9913000,0.9929000,0.9899000,0.9929000,2991
31/05/19,000000,0.9918000,0.9997000,0.9913000,0.9987000,3144
