<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01/01/19,000000,1.1456000,1.1545000,1.1446000,1.1459000,19293
02/01/19,000000,1.1454300,1.1496800,1.1324000,1.1345400,1961964
03/01/19,000000,1.1345400,1.1411000,1.1308000,1.1398300,2434824
04/01/19,000000,1.1398100,1.1419100,1.1344000,1.1402600,2168134
05/01/19,000000,1.1402200,1.1403400,1.1392500,1.1394200,32439
06/01/19,000000,1.1396500,1.1401000,1.1395000,1.1399000,93
07/01/19,000000,1.1397900,1.1482600,1.1393200,1.1476800,1436355
08/01/19,000000,1.1476100,1.1484600,1.1421000,1.1440200,1462154
09/01/19,000000,1.1440300,1.1558000,1.1435000,1.1554100,1731788
10/01/19,000000,1.1553500,1.1569800,1.1483000,1.1497800,1690792
11/01/19,000000,1.1497800,1.1540600,1.1456000,1.1462600,1553171
12/01/19,000000,1.1462500,1.1469300,1.1457000,1.1464000,31568
13/01/19,000000,1.1461200,1.1463200,1.1439000,1.1452000,371
14/01/19,000000,1.1451700,1.1482100,1.1449000,1.1468600,1356563
15/01/19,000000,1.1468600,1.1489700,1.1380000,1.1413200,1708408
16/01/19,000000,1.1412700,1.1424800,1.1376000,1.1391700,1491367
17/01/19,000000,1.1392600,1.1407000,1.1369000,1.1391300,1570971
18/01/19,000000,1.1390000,1.1410400,1.1352000,1.1365100,1430762
19/01/19,000000,1.1365000,1.1366000,1.1359000,1.1360000,32197
20/01/19,000000,1.1361700,1.1366300,1.1360000,1.1363600,100
21/01/19,000000,1.1363700,1.1391100,1.1355000,1.1368100,1021430
22/01/19,000000,1.1368100,1.1374000,1.1335000,1.1351700,1404758
23/01/19,000000,1.1352200,1.1394400,1.1349000,1.1382500,1419283
24/01/19,000000,1.1382500,1.1391400,1.1288000,1.1307700,1756082
25/01/19,000000,1.1307800,1.1417600,1.1299000,1.1414600,1662943
26/01/19,000000,1.1414700,1.1417500,1.1402000,1.1405000,41090
27/01/19,000000,1.1407700,1.1408000,1.1399000,1.1402000,180
28/01/19,000000,1.1403000,1.1443700,1.1389000,1.1428100,1307032
29/01/19,000000,1.1428100,1.1450200,1.1410000,1.1432900,1548748
30/01/19,000000,1.1433100,1.1501700,1.1405000,1.1480200,1604480
31/01/19,000000,1.1480800,1.1514300,1.1434000,1.1444900,1690348
01/02/19,000000,1.1444100,1.1488500,1.1433000,1.1458700,1469422
02/02/19,000000,1.1459400,1.1461700,1.1452000,1.1453500,30834
03/02/19,000000,1.1462500,1.1462500,1.1444000,1.1448000,195
04/02/19,000000,1.1448000,1.1460400,1.1422000,1.1434300,1276942
05/02/19,000000,1.1434300,1.1444000,1.1400000,1.1412800,1277027
06/02/19,000000,1.1412800,1.1416000,1.1360000,1.1368200,1292929
07/02/19,000000,1.1368100,1.1369000,1.1323000,1.1342500,1349625
08/02/19,000000,1.1342500,1.1350900,1.1319000,1.1322100,1169970
09/02/19,000000,1.1322200,1.1325200,1.1317000,1.1321000,23477
10/02/19,000000,1.1326000,1.1329900,1.1321000,1.1321000,228
11/02/19,000000,1.1321900,1.1330000,1.1265000,1.1276400,1660184
12/02/19,000000,1.1276300,1.1339700,1.1256000,1.1331500,1742695
13/02/19,000000,1.1331500,1.1341500,1.1262000,1.1266300,1850895
14/02/19,000000,1.1266300,1.1310000,1.1247000,1.1291500,2167636
15/02/19,000000,1.1291400,1.1306200,1.1233000,1.1299100,2004942
16/02/19,000000,1.1299100,1.1299700,1.1289000,1.1294000,43321
17/02/19,000000,1.1285900,1.1300900,1.1281000,1.1300300,281
18/02/19,000000,1.1300200,1.1334000,1.1288000,1.1314100,1308921
19/02/19,000000,1.1314100,1.1357600,1.1274000,1.1342700,1983299
20/02/19,000000,1.1342700,1.1371300,1.1324000,1.1339500,2005515
21/02/19,000000,1.1339900,1.1366400,1.1319000,1.1338400,2257768
22/02/19,000000,1.1338700,1.1355700,1.1315000,1.1332100,1905752
23/02/19,000000,1.1332100,1.1334500,1.1328000,1.1334400,30153
24/02/19,000000,1.1330900,1.1347700,1.1330900,1.1345000,226
25/02/19,000000,1.1347600,1.1367600,1.1324000,1.1361300,1880548
26/02/19,000000,1.1361300,1.1402800,1.1344000,1.1391800,2083721
27/02/19,000000,1.1391900,1.1403600,1.1361000,1.1371000,1941249
28/02/19,000000,1.1371200,1.1419700,1.1357000,1.1373100,2227016
01/03/19,000000,1.1373100,1.1408700,1.1350000,1.1364400,2072140
02/03/19,000000,1.1363900,1.1368300,1.1361000,1.1362000,39290
03/03/19,000000,1.1370000,1.1389100,1.1370000,1.1385000,354
04/03/19,000000,1.1387000,1.1387000,1.1308000,1.1342200,1887993
05/03/19,000000,1.1342300,1.1343000,1.1288000,1.1307700,1865102
06/03/19,000000,1.1307700,1.1324600,1.1284800,1.1311000,1729322
07/03/19,000000,1.1311000,1.1320200,1.1175000,1.1181200,2242988
08/03/19,000000,1.1180600,1.1246200,1.1178000,1.1231700,2148849
09/03/19,000000,1.1231700,1.1235200,1.1229000,1.1234700,31035
10/03/19,000000,1.1237700,1.1244400,1.1230000,1.1232700,115
11/03/19,000000,1.1231800,1.1258400,1.1220000,1.1243900,1124804
12/03/19,000000,1.1244300,1.1304900,1.1242100,1.1285600,1402036
13/03/19,000000,1.1286200,1.1338600,1.1276000,1.1326800,1110621
14/03/19,000000,1.1325800,1.1338000,1.1293000,1.1303400,1257652
15/03/19,000000,1.1303200,1.1344400,1.1296000,1.1323600,1109362
16/03/19,000000,1.1326000,1.1326000,1.1324000,1.1324000,17
17/03/19,000000,1.1322700,1.1326300,1.1315000,1.1320000,72
18/03/19,000000,1.1320000,1.1359000,1.1317000,1.1335100,1006064
19/03/19,000000,1.1335100,1.1361700,1.1331300,1.1351000,935045
20/03/19,000000,1.1351300,1.1448200,1.1334000,1.1413100,1345277
21/03/19,000000,1.1412900,1.1437400,1.1341000,1.1372600,1465549
22/03/19,000000,1.1372800,1.1390700,1.1272000,1.1299900,1559373
23/03/19,000000,1.1300900,1.1301800,1.1299000,1.1300000,10
24/03/19,000000,1.1284000,1.1292000,1.1282000,1.1289000,45
25/03/19,000000,1.1289300,1.1331600,1.1288000,1.1311200,1264363
26/03/19,000000,1.1311400,1.1326000,1.1262000,1.1263900,1345940
27/03/19,000000,1.1265200,1.1285600,1.1241000,1.1243900,1553526
28/03/19,000000,1.1243500,1.1261300,1.1212000,1.1218300,1478750
29/03/19,000000,1.1218800,1.1247000,1.1208000,1.1217200,1452580
30/03/19,000000,1.1215900,1.1217200,1.1215900,1.1217000,37
31/03/19,000000,1.1223700,1.1240800,1.1219000,1.1229200,511
01/04/19,000000,1.1226800,1.1250000,1.1202000,1.1212000,1292181
02/04/19,000000,1.1212500,1.1216000,1.1182000,1.1203000,1308333
03/04/19,000000,1.1203900,1.1254700,1.1197000,1.1232000,1142308
04/04/19,000000,1.1231600,1.1247700,1.1205000,1.1219900,1201791
05/04/19,000000,1.1218900,1.1248100,1.1209000,1.1214000,1116452
06/04/19,000000,1.1216100,1.1216100,1.1212000,1.1212000,2
07/04/19,000000,1.1217700,1.1219500,1.1214000,1.1217200,13
08/04/19,000000,1.1213000,1.1274600,1.1209600,1.1260500,1032756
09/04/19,000000,1.1262300,1.1284300,1.1253000,1.1261200,1025379
10/04/19,000000,1.1261500,1.1287700,1.1228000,1.1273000,1142855
11/04/19,000000,1.1272900,1.1287500,1.1248000,1.1251300,1058806
12/04/19,000000,1.1251900,1.1323900,1.1250800,1.1296400,1112588
13/04/19,000000,1.1298400,1.1298400,1.1298400,1.1298400,1
14/04/19,000000,1.1298600,1.1305400,1.1293000,1.1303000,234
15/04/19,000000,1.1303000,1.1321000,1.1296600,1.1303000,868165
16/04/19,000000,1.1302600,1.1314100,1.1278900,1.1279700,1166610
17/04/19,000000,1.1280400,1.1323700,1.1277000,1.1293700,1052603
18/04/19,000000,1.1292900,1.1304100,1.1224000,1.1228200,1146350
19/04/19,000000,1.1229500,1.1248000,1.1226700,1.1242800,532890
20/04/19,000000,1.1243000,1.1244900,1.1243000,1.1244900,2
21/04/19,000000,1.1243900,1.1247700,1.1238300,1.1244600,151
22/04/19,000000,1.1245200,1.1262000,1.1234000,1.1256600,568812
23/04/19,000000,1.1256900,1.1261300,1.1191000,1.1227000,967313
24/04/19,000000,1.1226900,1.1229000,1.1139000,1.1152600,1151710
25/04/19,000000,1.1152900,1.1162500,1.1117000,1.1130900,1072107
26/04/19,000000,1.1130900,1.1174000,1.1109000,1.1144600,1126171
27/04/19,000000,1.1146000,1.1149000,1.1146000,1.1149000,2
28/04/19,000000,1.1154400,1.1158400,1.1140000,1.1146000,199
29/04/19,000000,1.1144500,1.1186900,1.1143000,1.1184000,811319
30/04/19,000000,1.1185300,1.1229300,1.1174000,1.1215100,1048349
01/05/19,000000,1.1214200,1.1264900,1.1186000,1.1194900,934871
02/05/19,000000,1.1194200,1.1219100,1.1169000,1.1171300,1052692
03/05/19,000000,1.1170900,1.1205000,1.1134000,1.1201100,1069949
04/05/19,000000,1.1193300,1.1193300,1.1193300,1.1193300,1
05/05/19,000000,1.1165000,1.1186100,1.1157000,1.1172000,415
06/05/19,000000,1.1177900,1.1209300,1.1167000,1.1197600,1011925
07/05/19,000000,1.1198900,1.1217900,1.1165000,1.1189000,1090345
08/05/19,000000,1.1190000,1.1213800,1.1181000,1.1191600,1142383
09/05/19,000000,1.1191500,1.1251000,1.1172000,1.1213800,1259567
10/05/19,000000,1.1213200,1.1253600,1.1211500,1.1232900,1154486
11/05/19,000000,1.1237900,1.1237900,1.1237900,1.1237900,1
12/05/19,000000,1.1234300,1.1234800,1.1229000,1.1234300,124
13/05/19,000000,1.1232000,1.1263600,1.1220000,1.1220800,1011205
14/05/19,000000,1.1221500,1.1244000,1.1200000,1.1202500,973021
15/05/19,000000,1.1203200,1.1224700,1.1176000,1.1200800,1005090
16/05/19,000000,1.1199700,1.1224000,1.1164000,1.1173500,942547
17/05/19,000000,1.1173400,1.1184300,1.1154000,1.1155800,1028853
18/05/19,000000,1.1158100,1.1158100,1.1158100,1.1158100,1
19/05/19,000000,1.1161000,1.1167500,1.1150000,1.1164600,7320
20/05/19,000000,1.1159500,1.1175000,1.1148000,1.1165900,858013
21/05/19,000000,1.1166000,1.1188000,1.1140000,1.1158800,954450
22/05/19,000000,1.1158600,1.1180300,1.1147000,1.1150300,859052
23/05/19,000000,1.1149400,1.1187500,1.1106000,1.1181500,982367
24/05/19,000000,1.1181700,1.1212100,1.1171000,1.1202100,859418
25/05/19,000000,1.1202000,1.1202000,1.1202000,1.1202000,1
26/05/19,000000,1.1190000,1.1212000,1.1189400,1.1208100,5163
27/05/19,000000,1.1208900,1.1215200,1.1185000,1.1191300,533665
28/05/19,000000,1.1190500,1.1198400,1.1158000,1.1159800,892801
29/05/19,000000,1.1160200,1.1172500,1.1122000,1.1130900,947591
30/05/19,000000,1.1130500,1.1143400,1.1115000,1.1128000,840790
31/05/19,000000,1.1128600,1.1179800,1.1124000,1.1166300,1102800
01/06/19,000000,1.1169000,1.1169000,1.1168600,1.1168600,2
02/06/19,000000,1.1167500,1.1173200,1.1152000,1.1165000,15494
03/06/19,000000,1.1163600,1.1262000,1.1159000,1.1240300,1877254
