<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
02/01/19,000000,54.1200000,56.5600000,52.5100000,54.6800000,201219
03/01/19,000000,54.2900000,56.3000000,53.9300000,55.5500000,176701
04/01/19,000000,55.6700000,58.3100000,55.3400000,57.4200000,180788
06/01/19,000000,57.4100000,57.8100000,57.2600000,57.7800000,817
07/01/19,000000,57.7900000,58.9300000,57.2700000,57.5700000,190885
08/01/19,000000,57.6400000,58.8700000,57.1300000,58.5900000,164099
09/01/19,000000,59.1500000,61.6900000,59.0500000,61.3400000,210843
10/01/19,000000,61.1500000,61.9100000,60.4400000,61.1800000,183401
11/01/19,000000,61.1900000,62.4900000,60.0800000,60.5900000,189850
13/01/19,000000,60.6200000,61.0400000,60.6200000,60.7400000,862
14/01/19,000000,60.7700000,60.8700000,58.9000000,59.3200000,156761
15/01/19,000000,59.3600000,60.8600000,59.1100000,60.5300000,160470
16/01/19,000000,60.4200000,61.4500000,60.0300000,61.3000000,176126
17/01/19,000000,61.0500000,61.5400000,60.0400000,61.1500000,173585
18/01/19,000000,61.3300000,63.0000000,61.3200000,62.5800000,171864
20/01/19,000000,62.7400000,62.7700000,62.2500000,62.3100000,572
21/01/19,000000,62.2900000,63.1500000,62.2500000,62.8100000,84975
22/01/19,000000,62.5900000,62.7100000,60.5700000,61.6100000,172250
23/01/19,000000,61.3700000,62.3300000,60.2100000,60.9900000,168355
24/01/19,000000,61.0200000,61.5100000,60.4100000,61.1900000,141757
25/01/19,000000,61.1300000,61.9200000,60.7000000,61.4400000,116337
27/01/19,000000,61.4800000,61.4800000,61.1600000,61.1600000,252
28/01/19,000000,61.1600000,61.6300000,59.4000000,59.9500000,100096
29/01/19,000000,59.6900000,61.6900000,59.6100000,61.1600000,164928
30/01/19,000000,61.0700000,62.5100000,60.9600000,61.6600000,173320
31/01/19,000000,61.7000000,62.4600000,60.6300000,61.2200000,198700
01/02/19,000000,61.0600000,62.9700000,60.4600000,62.9000000,169072
03/02/19,000000,62.8300000,62.9500000,62.6200000,62.7500000,2086
04/02/19,000000,62.8000000,63.6300000,61.2800000,62.8200000,175415
05/02/19,000000,62.6400000,63.0200000,61.7200000,62.1100000,133132
06/02/19,000000,62.0600000,62.8000000,61.0500000,62.5500000,142079
07/02/19,000000,62.5000000,62.9100000,60.6000000,61.6800000,178505
08/02/19,000000,61.6600000,62.3600000,61.0400000,61.9700000,131801
10/02/19,000000,62.1100000,62.1300000,61.9200000,61.9200000,278
11/02/19,000000,61.9200000,62.3400000,60.9000000,61.5800000,154655
12/02/19,000000,61.5900000,63.3400000,61.5900000,62.6100000,175714
13/02/19,000000,62.7000000,63.9800000,62.6900000,63.6000000,154760
14/02/19,000000,63.6900000,64.8100000,63.2500000,64.5600000,190126
15/02/19,000000,64.8600000,66.3900000,64.4200000,66.3900000,185303
17/02/19,000000,66.3900000,66.6100000,66.3500000,66.5300000,673
18/02/19,000000,66.5300000,66.8300000,65.9000000,66.5000000,97252
19/02/19,000000,66.4400000,66.6500000,65.5800000,66.4400000,139372
20/02/19,000000,66.3000000,67.3800000,65.6300000,67.1800000,145692
21/02/19,000000,67.0500000,67.3100000,66.6900000,66.9400000,116689
22/02/19,000000,66.9600000,67.7300000,66.8700000,66.9100000,99968
24/02/19,000000,66.9700000,67.2600000,66.9300000,67.2600000,490
25/02/19,000000,67.2600000,67.4700000,64.5400000,64.9200000,149827
26/02/19,000000,64.9200000,65.8800000,64.4900000,65.7900000,121501
27/02/19,000000,65.9100000,66.8800000,65.4200000,66.4700000,122941
28/02/19,000000,66.5200000,66.7800000,65.9000000,66.2800000,135278
01/03/19,000000,66.4800000,67.1400000,64.5900000,65.0000000,198342
03/03/19,000000,64.9700000,65.4600000,64.9300000,65.2200000,1070
04/03/19,000000,65.1700000,66.3400000,65.0700000,65.5500000,148438
05/03/19,000000,65.4600000,66.2300000,65.0400000,65.5700000,127270
06/03/19,000000,65.4900000,66.1800000,65.2200000,65.9300000,151704
07/03/19,000000,65.8800000,67.0000000,65.7500000,66.0900000,163701
08/03/19,000000,66.0800000,66.0900000,64.0200000,65.8100000,218324
