<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01/01/19,000000,2.9210000,3.0390000,2.9170000,3.0210000,5364
02/01/19,000000,3.0230000,3.0360000,2.9050000,2.9080000,90180
03/01/19,000000,2.9100000,3.0110000,2.8780000,2.9220000,74873
04/01/19,000000,2.9220000,3.0490000,2.9110000,3.0330000,90295
06/01/19,000000,2.9620000,2.9840000,2.9100000,2.9730000,5535
07/01/19,000000,2.9700000,3.0100000,2.9230000,3.0040000,69957
08/01/19,000000,3.0000000,3.0530000,2.9620000,2.9990000,82550
09/01/19,000000,2.9960000,3.0190000,2.9390000,2.9880000,69805
10/01/19,000000,2.9870000,3.0890000,2.9610000,3.0300000,96966
11/01/19,000000,3.0270000,3.1660000,3.0140000,3.1570000,76187
13/01/19,000000,3.3250000,3.3480000,3.2810000,3.2990000,7227
14/01/19,000000,3.2980000,3.7220000,3.2920000,3.7160000,154614
15/01/19,000000,3.7150000,3.7220000,3.3770000,3.3980000,134024
16/01/19,000000,3.3980000,3.6960000,3.3380000,3.4430000,143722
17/01/19,000000,3.4420000,3.5930000,3.3210000,3.3430000,117179
18/01/19,000000,3.3400000,3.4990000,3.2010000,3.4230000,107312
20/01/19,000000,3.3270000,3.3610000,3.2860000,3.3520000,5524
21/01/19,000000,3.3520000,3.3570000,3.2310000,3.3500000,21509
22/01/19,000000,3.3480000,3.3490000,3.0260000,3.1020000,104096
23/01/19,000000,3.1020000,3.1670000,2.9570000,3.0000000,77143
24/01/19,000000,3.0000000,3.2070000,2.9900000,3.1960000,50521
25/01/19,000000,3.1940000,3.2000000,3.0470000,3.1740000,30073
27/01/19,000000,2.9260000,2.9330000,2.8880000,2.9320000,2771
28/01/19,000000,2.9280000,2.9830000,2.8910000,2.9030000,17207
29/01/19,000000,2.9300000,2.9700000,2.7890000,2.8820000,10381
30/01/19,000000,2.8830000,2.8970000,2.8460000,2.8910000,65270
31/01/19,000000,2.8890000,2.9180000,2.8020000,2.8230000,101393
01/02/19,000000,2.8230000,2.8310000,2.7300000,2.7330000,91727
