<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01/01/19,000000,801.4000000,801.7000000,796.2000000,800.2000000,1353
02/01/19,000000,800.3000000,805.6000000,787.9000000,800.8000000,19701
03/01/19,000000,800.9000000,810.2000000,795.3000000,808.3000000,17635
04/01/19,000000,808.5000000,828.5000000,800.1000000,826.5000000,26064
06/01/19,000000,826.3000000,834.6000000,823.9000000,833.7000000,3355
07/01/19,000000,833.7000000,836.5000000,823.3000000,825.8000000,17177
08/01/19,000000,825.9000000,829.4000000,818.9000000,826.6000000,13790
09/01/19,000000,826.8000000,832.3000000,822.6000000,830.9000000,12639
10/01/19,000000,830.9000000,833.2000000,823.0000000,827.5000000,9582
11/01/19,000000,827.5000000,829.0000000,813.5000000,813.8000000,13497
13/01/19,000000,813.5000000,816.7000000,810.7000000,812.2000000,1890
14/01/19,000000,812.4000000,812.8000000,801.5000000,808.0000000,17077
15/01/19,000000,808.1000000,808.9000000,798.1000000,803.5000000,14926
16/01/19,000000,803.6000000,810.9000000,800.6000000,805.4000000,11719
17/01/19,000000,805.4000000,816.1000000,803.6000000,815.4000000,14478
18/01/19,000000,815.3000000,818.2000000,797.5000000,800.7000000,15053
20/01/19,000000,798.7000000,804.0000000,798.7000000,802.0000000,1585
21/01/19,000000,802.0000000,803.8000000,791.5000000,794.9000000,7899
22/01/19,000000,795.0000000,801.0000000,788.5000000,794.2000000,15559
23/01/19,000000,794.2000000,799.4000000,791.2000000,798.6000000,11649
24/01/19,000000,798.7000000,808.7000000,792.0000000,805.7000000,14490
25/01/19,000000,805.6000000,822.5000000,804.3000000,820.4000000,16544
27/01/19,000000,820.4000000,822.2000000,817.3000000,819.7000000,2247
28/01/19,000000,819.7000000,820.3000000,810.9000000,815.6000000,11082
29/01/19,000000,815.7000000,821.6000000,814.1000000,820.0000000,12724
30/01/19,000000,820.0000000,823.8000000,814.6000000,819.4000000,14397
31/01/19,000000,819.8000000,828.2000000,818.3000000,821.4000000,15643
01/02/19,000000,821.6000000,835.0000000,821.3000000,825.6000000,15176
03/02/19,000000,829.7000000,829.7000000,823.0000000,823.6000000,1496
04/02/19,000000,823.8000000,826.0000000,816.4000000,825.1000000,12425
05/02/19,000000,825.0000000,827.4000000,818.7000000,819.4000000,9351
06/02/19,000000,819.5000000,824.8000000,805.8000000,807.0000000,16864
07/02/19,000000,806.9000000,810.0000000,796.3000000,797.3000000,17556
08/02/19,000000,797.3000000,803.0000000,796.0000000,802.4000000,11553
10/02/19,000000,804.0000000,804.4000000,794.5000000,795.3000000,2515
11/02/19,000000,795.3000000,796.7000000,786.0000000,789.8000000,16428
12/02/19,000000,790.0000000,794.9000000,785.5000000,792.9000000,14687
13/02/19,000000,792.7000000,796.5000000,786.7000000,787.9000000,12554
14/02/19,000000,788.1000000,791.4000000,780.9000000,785.8000000,14793
15/02/19,000000,785.9000000,809.5000000,785.9000000,808.4000000,18152
17/02/19,000000,809.4000000,811.0000000,804.0000000,807.4000000,2917
18/02/19,000000,807.4000000,812.2000000,806.3000000,810.4000000,7390
19/02/19,000000,810.3000000,826.3000000,808.9000000,822.3000000,18355
20/02/19,000000,822.4000000,836.2000000,821.4000000,825.5000000,22402
21/02/19,000000,825.6000000,832.9000000,820.7000000,830.1000000,20710
22/02/19,000000,830.0000000,847.5000000,829.7000000,845.6000000,21635
24/02/19,000000,846.6000000,852.5000000,845.4000000,848.6000000,3890
25/02/19,000000,848.6000000,862.0000000,848.6000000,861.8000000,24544
26/02/19,000000,861.8000000,868.0000000,849.2000000,866.0000000,22138
27/02/19,000000,866.0000000,876.8000000,861.9000000,867.2000000,24513
28/02/19,000000,867.1000000,879.9000000,865.4000000,873.1000000,20330
01/03/19,000000,872.9000000,874.1000000,859.4000000,862.4000000,21598
03/03/19,000000,864.0000000,866.1000000,860.9000000,860.9000000,2985
04/03/19,000000,860.9000000,861.1000000,837.0000000,840.8000000,27754
05/03/19,000000,840.7000000,842.8000000,831.6000000,833.8000000,15960
06/03/19,000000,833.9000000,836.2000000,825.0000000,825.0000000,15267
07/03/19,000000,824.9000000,830.0000000,812.6000000,816.1000000,18010
08/03/19,000000,816.1000000,822.5000000,814.4000000,818.5000000,14265
10/03/19,000000,816.0000000,818.8000000,813.1000000,815.5000000,2228
11/03/19,000000,815.6000000,826.9000000,809.6000000,826.1000000,18622
12/03/19,000000,826.2000000,838.8000000,823.9000000,835.9000000,21638
13/03/19,000000,835.6000000,849.4000000,834.1000000,835.4000000,16844
14/03/19,000000,835.7000000,836.6000000,824.1000000,829.7000000,19017
15/03/19,000000,829.8000000,836.8000000,827.7000000,831.5000000,10266
17/03/19,000000,830.2000000,832.5000000,823.6000000,828.4000000,2134
18/03/19,000000,828.5000000,839.8000000,826.8000000,838.9000000,12252
19/03/19,000000,838.9000000,859.4000000,835.3000000,856.8000000,25277
20/03/19,000000,856.8000000,872.9000000,854.7000000,870.0000000,22797
21/03/19,000000,870.1000000,876.7000000,852.9000000,858.7000000,22511
22/03/19,000000,858.8000000,867.6000000,846.7000000,848.2000000,18513
24/03/19,000000,848.4000000,850.5000000,841.3000000,849.2000000,3024
25/03/19,000000,849.4000000,863.1000000,847.5000000,854.6000000,15629
26/03/19,000000,854.3000000,862.3000000,850.1000000,861.3000000,12634
27/03/19,000000,861.0000000,870.5000000,851.5000000,855.6000000,6652
28/03/19,000000,857.0000000,864.4000000,833.4000000,842.8000000,949
29/03/19,000000,843.5000000,855.0000000,843.5000000,846.9000000,27
31/03/19,000000,853.5000000,858.8000000,853.5000000,857.2000000,1287
01/04/19,000000,857.1000000,862.3000000,847.8000000,854.0000000,13035
02/04/19,000000,854.2000000,864.0000000,849.4000000,863.7000000,12885
