<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01/01/19,000000,0.0143040,0.0144140,0.0142510,0.0143060,180
02/01/19,000000,0.0144390,0.0145150,0.0142890,0.0144690,279
03/01/19,000000,0.0144660,0.0145520,0.0143460,0.0145220,291
04/01/19,000000,0.0145090,0.0147710,0.0143500,0.0147170,290
05/01/19,000000,0.0147290,0.0148340,0.0147290,0.0147370,19
07/01/19,000000,0.0146270,0.0149720,0.0145470,0.0149680,281
08/01/19,000000,0.0149540,0.0149650,0.0148190,0.0149000,290
09/01/19,000000,0.0149000,0.0149580,0.0148240,0.0149360,291
10/01/19,000000,0.0149370,0.0149650,0.0148140,0.0149140,291
11/01/19,000000,0.0149140,0.0149280,0.0148570,0.0149090,291
12/01/19,000000,0.0149120,0.0149120,0.0148820,0.0149070,26
13/01/19,000000,0.0149110,0.0149250,0.0149090,0.0149140,17
14/01/19,000000,0.0149140,0.0149920,0.0148210,0.0148790,286
15/01/19,000000,0.0148830,0.0149110,0.0148550,0.0148830,288
16/01/19,000000,0.0148890,0.0150480,0.0148510,0.0150290,292
17/01/19,000000,0.0150320,0.0150510,0.0149560,0.0150310,288
18/01/19,000000,0.0150320,0.0150820,0.0150000,0.0150520,292
19/01/19,000000,0.0150670,0.0150720,0.0150320,0.0150670,23
20/01/19,000000,0.0150750,0.0150770,0.0150540,0.0150770,11
21/01/19,000000,0.0150770,0.0151640,0.0149420,0.0150200,291
22/01/19,000000,0.0150200,0.0150350,0.0149700,0.0149860,292
23/01/19,000000,0.0149910,0.0151040,0.0149880,0.0150950,291
24/01/19,000000,0.0150960,0.0151830,0.0150730,0.0151710,291
25/01/19,000000,0.0151670,0.0151950,0.0150550,0.0151140,291
26/01/19,000000,0.0151150,0.0151200,0.0150890,0.0151170,21
27/01/19,000000,0.0151170,0.0151790,0.0149840,0.0151170,49
28/01/19,000000,0.0151170,0.0152150,0.0149840,0.0150490,292
29/01/19,000000,0.0150480,0.0151150,0.0150210,0.0151010,291
30/01/19,000000,0.0151010,0.0152530,0.0150580,0.0152340,291
