<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
02/01/19,000000,2476.9600000,2519.4900000,2467.4700000,2510.0300000,21148
03/01/19,000000,2491.9200000,2493.1400000,2443.9600000,2447.8900000,21531
04/01/19,000000,2474.3300000,2538.0700000,2474.3300000,2531.9400000,21009
07/01/19,000000,2535.6100000,2566.1600000,2524.5600000,2549.6900000,20718
08/01/19,000000,2568.1100000,2579.8200000,2547.5600000,2574.4100000,20748
09/01/19,000000,2580.0000000,2595.3200000,2568.8900000,2584.9600000,20419
10/01/19,000000,2572.2200000,2597.8200000,2562.0200000,2596.6400000,20282
11/01/19,000000,2588.1100000,2596.2700000,2577.4000000,2596.2600000,19566
14/01/19,000000,2580.3100000,2589.3200000,2570.4100000,2582.6100000,19258
15/01/19,000000,2585.1000000,2613.0800000,2585.1000000,2610.3000000,19953
16/01/19,000000,2614.7500000,2625.7600000,2612.6800000,2616.1000000,19478
17/01/19,000000,2609.2800000,2645.0600000,2606.3600000,2635.9600000,19484
18/01/19,000000,2651.2700000,2675.4700000,2647.5800000,2670.7100000,19920
22/01/19,000000,2657.8800000,2657.8800000,2617.2700000,2632.9000000,20218
23/01/19,000000,2643.4800000,2653.1900000,2612.8600000,2638.7000000,20204
24/01/19,000000,2638.8400000,2647.2000000,2627.0100000,2642.3300000,19779
25/01/19,000000,2657.4400000,2672.3800000,2657.3300000,2664.7600000,19571
28/01/19,000000,2644.9700000,2644.9700000,2624.0600000,2643.8500000,19693
29/01/19,000000,2644.8900000,2650.9300000,2631.0500000,2640.0000000,19415
30/01/19,000000,2653.6200000,2690.4400000,2648.3400000,2681.0500000,20109
31/01/19,000000,2684.6800000,2708.9500000,2678.6500000,2704.1000000,20166
01/02/19,000000,2702.3200000,2716.6600000,2696.8800000,2706.5300000,20049
04/02/19,000000,2706.4900000,2724.8800000,2698.7500000,2724.8700000,18757
05/02/19,000000,2728.3400000,2738.9800000,2724.0300000,2737.7000000,19093
