<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01/01/19,000000,1285.0000000,1288.6000000,1280.8000000,1288.4000000,31218
02/01/19,000000,1288.4000000,1292.4000000,1280.6000000,1291.9000000,215591
03/01/19,000000,1292.0000000,1300.4000000,1286.4000000,1297.2000000,222511
04/01/19,000000,1297.2000000,1297.5000000,1278.1000000,1286.2000000,242137
06/01/19,000000,1287.0000000,1293.1000000,1284.1000000,1292.8000000,35745
07/01/19,000000,1292.8000000,1297.0000000,1282.8000000,1284.1000000,187207
08/01/19,000000,1284.0000000,1288.4000000,1280.2000000,1283.4000000,168219
09/01/19,000000,1283.4000000,1298.0000000,1280.9000000,1297.1000000,219399
10/01/19,000000,1297.1000000,1297.9000000,1286.7000000,1294.4000000,192633
11/01/19,000000,1294.4000000,1295.7000000,1287.2000000,1287.9000000,137558
13/01/19,000000,1288.0000000,1293.0000000,1287.7000000,1291.9000000,31581
14/01/19,000000,1292.0000000,1296.6000000,1288.6000000,1291.1000000,169183
15/01/19,000000,1291.1000000,1294.8000000,1286.5000000,1291.4000000,204345
16/01/19,000000,1291.5000000,1295.4000000,1287.6000000,1292.2000000,160606
17/01/19,000000,1292.2000000,1294.8000000,1288.3000000,1290.7000000,168292
18/01/19,000000,1290.7000000,1291.8000000,1280.1000000,1281.3000000,177572
20/01/19,000000,1280.7000000,1283.0000000,1280.4000000,1280.8000000,19268
21/01/19,000000,1280.8000000,1282.8000000,1276.0000000,1278.5000000,86804
22/01/19,000000,1278.5000000,1285.1000000,1277.6000000,1283.5000000,159021
23/01/19,000000,1283.5000000,1286.0000000,1277.7000000,1280.7000000,165980
24/01/19,000000,1280.7000000,1283.0000000,1275.3000000,1281.2000000,172853
25/01/19,000000,1281.2000000,1303.4000000,1280.7000000,1302.5000000,238278
27/01/19,000000,1302.3000000,1303.7000000,1298.7000000,1301.7000000,31053
28/01/19,000000,1301.7000000,1303.6000000,1296.5000000,1303.1000000,144669
29/01/19,000000,1303.1000000,1314.0000000,1303.1000000,1313.9000000,117626
30/01/19,000000,1313.9000000,1325.8000000,1308.1000000,1324.6000000,34430
31/01/19,000000,1324.6000000,1331.1000000,1322.1000000,1322.6000000,208068
01/02/19,000000,1322.5000000,1328.2000000,1320.6000000,1322.0000000,165234
